                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2821,                 2.7511,                 1.4795,                 0.0164,                      1,                0.86636,                0.60824,                0.69167,                 2.3017,                0.93075,                0.00016,                0.00016,                0.00016
                      2,                0.66491,                 1.2967,                 1.0025,                0.96348,                0.98765,                0.97664,                0.84139,                0.54355,                  1.005,                0.82245,             0.00033663,             0.00033663,             0.00033663
                      3,                0.58466,                0.68441,                0.96505,                0.97197,                0.92701,                0.96862,                0.83264,                0.55813,                 1.0249,                0.83587,              0.0005097,              0.0005097,              0.0005097
                      4,                 0.5772,                0.64137,                0.96765,                0.88527,                0.96791,                0.96936,                0.83554,                 0.5494,                0.80385,                0.82709,             0.00067921,             0.00067921,             0.00067921
                      5,                0.56581,                0.62994,                0.95841,                0.98336,                0.98396,                0.97914,                0.85703,                0.52561,                0.68581,                0.79762,             0.00084515,             0.00084515,             0.00084515
                      6,                0.57326,                0.63201,                 0.9603,                0.92451,                0.98237,                0.97037,                0.86213,                0.49058,                0.71084,                0.78143,              0.0010075,              0.0010075,              0.0010075
                      7,                0.55876,                0.60755,                 0.9313,                0.95586,                0.94652,                0.98374,                0.85309,                0.55125,                0.77038,                0.79648,              0.0011663,              0.0011663,              0.0011663
                      8,                0.54807,                0.56397,                0.91858,                0.94713,                0.94652,                0.97948,                0.81996,                0.65049,                0.78759,                0.82879,              0.0013216,              0.0013216,              0.0013216
                      9,                0.55175,                0.55957,                0.94484,                0.97257,                      1,                0.97608,                 0.8506,                0.52926,                 0.7626,                0.79181,              0.0014733,              0.0014733,              0.0014733
                     10,                0.56742,                0.55607,                0.93724,                0.97344,                0.97989,                0.98648,                 0.8639,                0.53964,                0.98561,                 0.8084,              0.0016214,              0.0016214,              0.0016214
                     11,                0.57298,                0.55457,                0.95243,                0.96854,                0.98786,                0.98124,                 0.7958,                0.71312,                0.79142,                0.93837,               0.001766,               0.001766,               0.001766
                     12,                0.55626,                0.53702,                0.94033,                 0.9633,                0.98265,                0.97778,                0.84633,                0.55457,                0.63267,                0.82197,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.5382,                0.52091,                0.93383,                0.96983,                0.97861,                0.98157,                0.85226,                0.57169,                0.69057,                0.82508,              0.0017822,              0.0017822,              0.0017822
                     14,                 0.5518,                0.53582,                0.95148,                0.96272,                0.96674,                0.97339,                0.83237,                0.59387,                0.77422,                0.84168,              0.0017624,              0.0017624,              0.0017624
                     15,                0.54724,                0.52245,                0.94848,                0.94647,                0.97861,                0.97376,                0.81071,                0.64804,                0.64104,                  0.858,              0.0017426,              0.0017426,              0.0017426
                     16,                0.53053,                0.48545,                0.93024,                0.91286,                0.99465,                 0.9761,                0.84232,                0.55145,                0.56501,                 0.8047,              0.0017228,              0.0017228,              0.0017228
                     17,                0.53877,                0.48438,                0.93812,                0.96847,                0.98544,                0.97994,                0.84708,                0.56465,                0.57299,                0.81697,               0.001703,               0.001703,               0.001703
                     18,                0.55392,                0.49864,                0.95023,                0.88231,                0.91979,                0.96146,                0.78825,                0.64669,                0.67359,                0.85076,              0.0016832,              0.0016832,              0.0016832
                     19,                0.50958,                0.45902,                0.91892,                0.91945,                0.85455,                0.94277,                0.75519,                0.66186,                0.79981,                0.87818,              0.0016634,              0.0016634,              0.0016634
                     20,                0.50116,                0.45518,                0.91006,                0.86757,                0.80214,                0.90922,                0.71254,                0.75731,                0.87438,                 0.9332,              0.0016436,              0.0016436,              0.0016436
